County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Santa Barbara County,202280.0,99440.0,72030.0,52240.0,16227199.0,12090.0,56668.0
Santa Clara County,928790.0,447400.0,371290.0,188050.0,150578502.0,42730.0,221848.0
Santa Cruz County,152030.0,75420.0,54130.0,41780.0,12771476.0,10900.0,60298.0
Santa Fe County,77210.0,40680.0,25260.0,28850.0,5583771.0,1640.0,8922.0
Santa Rosa County,79440.0,31870.0,36460.0,20810.0,5266115.0,1040.0,3410.0
Sarasota County,216740.0,105020.0,86730.0,97710.0,20502916.0,2070.0,8434.0
Saratoga County,119290.0,58690.0,47770.0,33150.0,11693889.0,3380.0,15907.0
Sargent County,1980.0,910.0,880.0,630.0,117494.0,160.0,289.0
Sarpy County,87510.0,38570.0,38590.0,17800.0,6264813.0,1600.0,6137.0
Sauk County,34220.0,17550.0,13400.0,9450.0,1850568.0,1110.0,3732.0
Saunders County,10200.0,4380.0,4950.0,2970.0,702811.0,170.0,542.0
Sawyer County,8390.0,3950.0,3560.0,3270.0,450617.0,450.0,1671.0
Schenectady County,77440.0,39290.0,25600.0,20580.0,4865615.0,1970.0,9239.0
Schleicher County,1170.0,460.0,550.0,340.0,60406.0,0.0,0.0
Schley County,1770.0,620.0,710.0,350.0,79231.0,50.0,123.0
Schoharie County,13980.0,6790.0,5470.0,4340.0,736447.0,720.0,3349.0
Schoolcraft County,3880.0,1760.0,1710.0,1470.0,181337.0,310.0,1251.0
Schuyler County,13590.0,6270.0,5670.0,4270.0,668443.0,630.0,3115.0
Schuylkill County,67130.0,32960.0,25230.0,19630.0,3486574.0,5150.0,22749.0
Scioto County,28980.0,11650.0,11290.0,7640.0,1401744.0,1400.0,7035.0
Scotland County,15410.0,6200.0,4750.0,3870.0,624835.0,340.0,781.0
Scott County,241900.0,107590.0,99320.0,55750.0,16954551.0,8880.0,40521.0
Scotts Bluff County,16250.0,7210.0,6510.0,4510.0,832141.0,390.0,1330.0
Screven County,5500.0,2170.0,1900.0,1400.0,237777.0,160.0,341.0
Scurry County,6560.0,2600.0,2960.0,1680.0,405619.0,120.0,520.0
Searcy County,2940.0,1120.0,1500.0,900.0,92630.0,110.0,397.0
Sebastian County,53360.0,23590.0,20200.0,12580.0,2893478.0,1940.0,5783.0
Sedgwick County,235870.0,109990.0,88890.0,58560.0,15328114.0,6580.0,23425.0
Seminole County,242450.0,115360.0,86190.0,55670.0,16961820.0,3040.0,9591.0
Seneca County,41960.0,19670.0,15100.0,11980.0,2038478.0,1420.0,5972.0
Sequatchie County,6200.0,2380.0,2770.0,1690.0,310492.0,170.0,581.0
Sequoyah County,15630.0,5950.0,6670.0,3700.0,661238.0,550.0,2275.0
Sevier County,60940.0,25780.0,25620.0,15810.0,2810554.0,1750.0,5223.0
Seward County,17310.0,7260.0,7380.0,3900.0,955887.0,290.0,906.0
Shackelford County,1500.0,600.0,730.0,460.0,94139.0,30.0,95.0
Shannon County,3050.0,1200.0,1480.0,870.0,102529.0,170.0,525.0
Sharkey County,1800.0,690.0,370.0,490.0,63853.0,60.0,139.0
Sharp County,6330.0,2410.0,3020.0,2060.0,238967.0,240.0,772.0
Shasta County,77600.0,35410.0,31920.0,24280.0,4511634.0,5540.0,25116.0
Shawano County,19890.0,9410.0,8500.0,5960.0,1008438.0,770.0,2663.0
Shawnee County,83850.0,39970.0,30980.0,25330.0,4808239.0,2270.0,7126.0
Sheboygan County,59100.0,29190.0,24200.0,16580.0,3595734.0,1380.0,4761.0
Shelby County,623370.0,288520.0,186750.0,139130.0,40724959.0,9370.0,35337.0
Shenandoah County,21050.0,9590.0,8510.0,6300.0,1149665.0,430.0,1138.0
Sherburne County,45870.0,20990.0,20140.0,9190.0,3141432.0,2590.0,14567.0
Sheridan County,21150.0,10030.0,9090.0,7410.0,1399348.0,780.0,3240.0
Sherman County,5990.0,2590.0,2760.0,1970.0,287645.0,110.0,391.0
Shiawassee County,33300.0,15470.0,13780.0,10120.0,1635845.0,1850.0,5655.0
Shoshone County,5500.0,2400.0,2430.0,1810.0,235400.0,390.0,1524.0
Sibley County,7490.0,3520.0,3210.0,2120.0,406147.0,380.0,2200.0
Sierra County,6060.0,2980.0,2300.0,2650.0,226510.0,250.0,1205.0
Silver Bow County,16460.0,8610.0,5890.0,4820.0,865591.0,810.0,3395.0
Simpson County,18820.0,7980.0,6850.0,4360.0,827253.0,440.0,1589.0
Sioux County,16320.0,6330.0,8320.0,4390.0,1020815.0,500.0,2522.0
Siskiyou County,19240.0,8650.0,7940.0,7260.0,924342.0,1670.0,8136.0
Sitka City and Borou,4570.0,2490.0,1570.0,1190.0,321249.0,500.0,900.0
Skagit County,60670.0,27660.0,25280.0,19440.0,4146608.0,2990.0,15179.0
Skagway Municipality,760.0,480.0,210.0,180.0,46329.0,250.0,780.0
Skamania County,5130.0,2260.0,2290.0,1620.0,378388.0,340.0,1646.0
Slope County,330.0,130.0,170.0,110.0,18509.0,0.0,0.0
Smith County,117380.0,50590.0,47300.0,30270.0,7272311.0,3060.0,12722.0
Smyth County,12430.0,5290.0,5270.0,3430.0,510316.0,500.0,1733.0
Snohomish County,388170.0,185480.0,158660.0,86740.0,30738152.0,15320.0,93226.0
Snyder County,18280.0,8400.0,8160.0,5240.0,928211.0,1450.0,5367.0
Socorro County,6700.0,3150.0,2180.0,1960.0,260315.0,150.0,653.0
Solano County,211390.0,100200.0,76920.0,52720.0,14554660.0,12670.0,58963.0
Somerset County,236060.0,109730.0,98340.0,63110.0,25201358.0,12200.0,75989.0
Somervell County,3930.0,1440.0,2000.0,1120.0,260863.0,120.0,795.0
Sonoma County,247980.0,126560.0,91320.0,76630.0,20454589.0,12730.0,52875.0
South Carolina,2240270.0,986450.0,804300.0,569550.0,134050103.0,41140.0,136165.0
South Dakota,419250.0,199830.0,169640.0,115740.0,26887459.0,7330.0,28828.0
Southampton County,7630.0,3210.0,2970.0,2200.0,391890.0,160.0,497.0
Southeast Fairbanks,3290.0,1460.0,1480.0,870.0,185937.0,860.0,1992.0
Spalding County,27530.0,11300.0,8970.0,6800.0,1268793.0,780.0,1457.0
Spartanburg County,138350.0,58880.0,51800.0,30510.0,7617350.0,2600.0,7619.0
Spencer County,18310.0,7610.0,8750.0,4780.0,1151786.0,500.0,1914.0
Spink County,2970.0,1420.0,1250.0,980.0,168027.0,40.0,177.0
Spokane County,237500.0,114250.0,94260.0,62200.0,15115780.0,10450.0,50912.0
Spotsylvania County,63710.0,27920.0,26080.0,14450.0,4507093.0,1230.0,4315.0
St. Bernard Parish,17120.0,7480.0,4660.0,2910.0,721882.0,360.0,1177.0
St. Charles County,196770.0,90120.0,84490.0,50620.0,14630155.0,5020.0,16094.0
St. Charles Parish,24050.0,10000.0,8910.0,5350.0,1588923.0,430.0,1285.0
St. Clair County,240490.0,109710.0,90830.0,64010.0,13707738.0,9690.0,37276.0
St. Croix County,44650.0,20340.0,20260.0,10880.0,3674933.0,1760.0,8737.0
St. Francis County,8560.0,3230.0,2190.0,2050.0,306339.0,240.0,664.0
St. Francois County,26060.0,11260.0,10590.0,6650.0,1214439.0,980.0,2885.0
St. Helena Parish,5230.0,1920.0,1420.0,1260.0,213560.0,170.0,724.0
St. James Parish,9610.0,3930.0,2910.0,2210.0,569701.0,290.0,908.0
St. John the Baptist,19520.0,8330.0,4920.0,4060.0,978884.0,530.0,1695.0
St. Johns County,121020.0,50300.0,57180.0,38400.0,13163953.0,1190.0,4706.0
St. Joseph County,155060.0,75860.0,54400.0,40600.0,8805924.0,3190.0,10425.0
St. Landry Parish,35010.0,14040.0,11150.0,7670.0,1694556.0,990.0,3241.0
St. Lawrence County,43140.0,19790.0,16950.0,12350.0,2235092.0,2230.0,10378.0
St. Louis County,597460.0,296310.0,210630.0,176140.0,51522735.0,17050.0,68861.0
St. Louis city,141950.0,85230.0,25170.0,27190.0,6983561.0,3990.0,12090.0
St. Lucie County,149030.0,67930.0,52390.0,45870.0,7779885.0,2690.0,9058.0
St. Martin Parish,22960.0,9510.0,7840.0,4800.0,1141953.0,610.0,1935.0
St. Mary Parish,20880.0,8230.0,6930.0,4810.0,985837.0,760.0,2256.0
St. Mary's County,52690.0,24000.0,21040.0,11380.0,4071424.0,1370.0,5787.0
St. Tammany Parish,116130.0,48990.0,48190.0,30980.0,8625475.0,1990.0,6292.0
Stafford County,69510.0,28860.0,30560.0,13590.0,5572444.0,1140.0,4181.0
Stanislaus County,230120.0,100870.0,86860.0,46660.0,12913178.0,23070.0,104088.0
Stanley County,1590.0,740.0,660.0,480.0,105949.0,40.0,132.0
Stanly County,26450.0,11140.0,11030.0,6750.0,1359719.0,360.0,837.0
Stanton County,3700.0,1570.0,1730.0,960.0,192743.0,50.0,182.0
Stark County,202260.0,95970.0,70930.0,55920.0,11505375.0,6960.0,29991.0
Starke County,10370.0,4500.0,4380.0,3030.0,477666.0,270.0,974.0
Starr County,25380.0,9700.0,8440.0,3050.0,843928.0,3440.0,15627.0
Staunton city,12030.0,6160.0,4100.0,3660.0,630759.0,230.0,709.0
Ste. Genevieve Count,8440.0,3680.0,3850.0,2500.0,457710.0,350.0,815.0
Stearns County,74550.0,36860.0,29710.0,18240.0,4724348.0,3460.0,18504.0
Steele County,19570.0,9210.0,8180.0,5420.0,1167959.0,750.0,3565.0
Stephens County,31620.0,12450.0,14180.0,9180.0,1695172.0,1030.0,4747.0
Stephenson County,22160.0,10490.0,8680.0,7450.0,1127550.0,920.0,4540.0
Sterling County,580.0,240.0,280.0,130.0,42036.0,0.0,0.0
Steuben County,60130.0,28150.0,24180.0,17680.0,3462645.0,2260.0,10004.0
Stevens County,25820.0,10540.0,12520.0,8620.0,1441961.0,1460.0,7497.0
Stewart County,7130.0,2730.0,3110.0,2000.0,316136.0,190.0,571.0
Stillwater County,4470.0,1820.0,2250.0,1590.0,285948.0,200.0,803.0
Stoddard County,12160.0,4880.0,5330.0,3350.0,582104.0,570.0,1593.0
Stokes County,19780.0,8200.0,8810.0,5700.0,978267.0,270.0,656.0
Stone County,25760.0,9830.0,12440.0,9250.0,1220607.0,1270.0,3423.0
Stonewall County,580.0,230.0,290.0,230.0,32931.0,0.0,0.0
Storey County,2040.0,990.0,860.0,830.0,138622.0,80.0,350.0
Story County,37360.0,19490.0,15080.0,9430.0,2644317.0,900.0,3842.0
Strafford County,63500.0,33300.0,23020.0,15380.0,4237833.0,1520.0,6252.0
Stutsman County,10090.0,5100.0,3970.0,2980.0,614273.0,320.0,1462.0
Sublette County,4240.0,1810.0,2020.0,1210.0,348210.0,160.0,743.0
Suffolk County,1177470.0,640050.0,354050.0,262450.0,111425936.0,39150.0,220126.0
Suffolk city,41560.0,16890.0,16030.0,9640.0,2766525.0,740.0,2817.0
Sullivan County,140900.0,64550.0,55650.0,41200.0,7801480.0,3170.0,13442.0
Sully County,740.0,350.0,340.0,270.0,44134.0,0.0,0.0
Summers County,4360.0,1820.0,1940.0,1490.0,176745.0,270.0,852.0
Summit County,310140.0,154170.0,102190.0,80380.0,22035927.0,9140.0,41750.0
Sumner County,97270.0,41400.0,41950.0,23850.0,6547868.0,1230.0,4791.0
Sumter County,123470.0,49810.0,50980.0,57330.0,7502379.0,1830.0,6206.0
Sunflower County,9420.0,3920.0,1690.0,1960.0,345971.0,290.0,724.0
Surry County,33640.0,13840.0,14610.0,9150.0,1662165.0,530.0,1372.0
Susquehanna County,19600.0,9380.0,8150.0,6530.0,1137947.0,1150.0,5459.0
Sussex County,189690.0,88440.0,76200.0,64770.0,13437678.0,8220.0,44057.0
Sutter County,41030.0,16780.0,17420.0,9530.0,2243831.0,5080.0,25244.0
Sutton County,1700.0,670.0,790.0,460.0,102833.0,30.0,138.0
Suwannee County,16930.0,6710.0,6600.0,4960.0,711518.0,190.0,614.0
Swain County,7930.0,3760.0,2520.0,2040.0,348017.0,140.0,303.0
Sweet Grass County,1770.0,800.0,820.0,660.0,92935.0,50.0,213.0
Sweetwater County,19800.0,8680.0,8470.0,4510.0,1368820.0,730.0,3289.0
Swift County,4570.0,2160.0,1940.0,1420.0,238178.0,200.0,1098.0
Swisher County,2850.0,1130.0,1190.0,820.0,121975.0,40.0,133.0
Switzerland County,4230.0,1870.0,1750.0,1160.0,184204.0,100.0,450.0
Talbot County,21790.0,10220.0,8340.0,8110.0,1773134.0,720.0,2564.0
Taliaferro County,630.0,270.0,170.0,180.0,21469.0,0.0,0.0
Talladega County,32630.0,12990.0,10850.0,7620.0,1485743.0,790.0,2401.0
Tallahatchie County,4850.0,1870.0,1050.0,1070.0,170042.0,150.0,347.0
Tallapoosa County,17380.0,6470.0,6460.0,4800.0,854640.0,510.0,925.0
Tama County,8330.0,3820.0,3400.0,2550.0,432544.0,480.0,2311.0
Taney County,25640.0,11960.0,9960.0,7610.0,1022264.0,2000.0,4769.0
Tangipahoa Parish,52320.0,21720.0,17050.0,11190.0,2666662.0,1360.0,4740.0
Taos County,15690.0,8220.0,4640.0,5790.0,688268.0,710.0,3475.0
Tarrant County,941320.0,434390.0,335260.0,176660.0,73316706.0,22570.0,118895.0
Tate County,11790.0,4680.0,4180.0,2630.0,545604.0,190.0,557.0
Tattnall County,7920.0,2990.0,2830.0,1830.0,361999.0,190.0,504.0
Taylor County,101710.0,45040.0,40820.0,25500.0,5387510.0,2880.0,11149.0
Tazewell County,78820.0,34590.0,34440.0,23010.0,4899106.0,3770.0,20479.0
Tehama County,25830.0,10940.0,10850.0,7420.0,1303476.0,2230.0,9604.0
Telfair County,3820.0,1550.0,1180.0,900.0,137338.0,250.0,348.0
Teller County,12310.0,5210.0,6020.0,4270.0,823550.0,350.0,1777.0
Tennessee,3035700.0,1371650.0,1134490.0,714790.0,186748627.0,44700.0,162880.0
Tensas Parish,1710.0,670.0,460.0,520.0,77682.0,50.0,182.0
Terrebonne Parish,45540.0,18520.0,16920.0,9310.0,2565554.0,1060.0,3214.0
Terrell County,4050.0,1620.0,1140.0,1120.0,163372.0,100.0,173.0
Terry County,4580.0,1760.0,1860.0,1050.0,201693.0,150.0,667.0
Teton County,22470.0,11990.0,8460.0,5360.0,4329289.0,980.0,3645.0
Texas,12513340.0,5630070.0,4607210.0,2505890.0,895679213.0,381070.0,1916728.0
Texas County,18670.0,7340.0,8210.0,4720.0,782916.0,490.0,1577.0
Thayer County,2390.0,1040.0,1190.0,900.0,132572.0,20.0,81.0
Thomas County,22720.0,9660.0,8100.0,6010.0,1243351.0,340.0,1041.0
Throckmorton County,630.0,220.0,320.0,220.0,31635.0,0.0,0.0
Thurston County,141110.0,66180.0,57210.0,39030.0,9409663.0,4940.0,26166.0
Tift County,16840.0,6960.0,5550.0,3610.0,818042.0,300.0,747.0
Tillamook County,12670.0,5980.0,5270.0,4700.0,735909.0,530.0,1899.0
Tillman County,2780.0,1020.0,1190.0,830.0,111382.0,80.0,361.0
Tioga County,41790.0,18740.0,17970.0,12820.0,2251809.0,2540.0,11529.0
Tippah County,8830.0,3370.0,3440.0,1800.0,370184.0,140.0,356.0
Tippecanoe County,75430.0,37830.0,27320.0,17290.0,4655696.0,1050.0,4119.0
Tipton County,34160.0,14220.0,13940.0,8440.0,1785730.0,630.0,2025.0
Tishomingo County,7350.0,2720.0,3390.0,1870.0,326704.0,190.0,728.0
Titus County,13530.0,5240.0,5350.0,2780.0,627920.0,420.0,2268.0
Todd County,18840.0,8050.0,7590.0,4940.0,833418.0,810.0,4471.0
Tolland County,68920.0,33540.0,28260.0,19630.0,5676658.0,3080.0,19325.0
Tom Green County,52440.0,24590.0,19620.0,12700.0,3078659.0,860.0,3864.0
Tompkins County,41060.0,22070.0,14570.0,11490.0,2943061.0,930.0,4243.0
Tooele County,27970.0,10820.0,13420.0,4940.0,1647164.0,740.0,3335.0
Toole County,2140.0,1040.0,900.0,620.0,98522.0,50.0,184.0
Toombs County,10750.0,4110.0,3560.0,2410.0,506371.0,550.0,1300.0
Torrance County,5790.0,2540.0,2210.0,1780.0,216950.0,230.0,1085.0
Towner County,1110.0,510.0,510.0,400.0,66990.0,30.0,117.0
Towns County,5460.0,2240.0,2700.0,2560.0,290647.0,70.0,172.0
Traill County,3780.0,1770.0,1700.0,1120.0,261367.0,140.0,716.0
Transylvania County,14800.0,6300.0,6770.0,5980.0,853632.0,130.0,407.0
Traverse County,1640.0,760.0,740.0,610.0,89248.0,50.0,321.0
Travis County,588820.0,322480.0,190450.0,98370.0,61009043.0,12970.0,69917.0
Treasure County,360.0,150.0,170.0,160.0,16706.0,0.0,0.0
Trego County,1460.0,680.0,690.0,550.0,64877.0,30.0,123.0
Trempealeau County,15080.0,7160.0,6220.0,4000.0,771554.0,600.0,2533.0
Treutlen County,2370.0,920.0,790.0,530.0,91894.0,130.0,292.0
Trigg County,6110.0,2450.0,2780.0,1890.0,278230.0,270.0,870.0
Trimble County,3710.0,1520.0,1670.0,940.0,180701.0,90.0,374.0
Trinity County,10430.0,4370.0,4380.0,3850.0,457518.0,510.0,2416.0
Tripp County,2660.0,1240.0,1160.0,850.0,121166.0,30.0,135.0
Troup County,28560.0,12070.0,8720.0,6030.0,1400053.0,660.0,1540.0
Trousdale County,3820.0,1660.0,1510.0,880.0,174080.0,50.0,142.0
Trumbull County,98770.0,47560.0,33220.0,30930.0,4688702.0,5200.0,23353.0
Tucker County,3350.0,1530.0,1480.0,1060.0,146312.0,270.0,920.0
Tulare County,181990.0,74530.0,64770.0,32280.0,8727615.0,25700.0,128445.0
Tulsa County,283840.0,129570.0,105680.0,67690.0,20189473.0,7480.0,36324.0
Tunica County,4510.0,1780.0,560.0,720.0,141485.0,120.0,336.0
Tuolumne County,24460.0,11580.0,10220.0,9760.0,1483251.0,1520.0,6711.0
Turner County,7440.0,2980.0,2970.0,2040.0,340933.0,160.0,454.0
Tuscaloosa County,82700.0,36340.0,27490.0,18250.0,4807848.0,1620.0,4101.0
Tuscarawas County,44410.0,19650.0,17520.0,11840.0,2354245.0,1490.0,6145.0
Tuscola County,25290.0,11360.0,11090.0,8030.0,1153671.0,1590.0,5428.0
Twiggs County,3480.0,1390.0,1110.0,910.0,143095.0,110.0,250.0
Twin Falls County,37310.0,15740.0,16470.0,9180.0,1800987.0,1380.0,4156.0
Tyler County,11230.0,4380.0,5250.0,3590.0,581862.0,710.0,3164.0
Tyrrell County,1670.0,710.0,530.0,440.0,57560.0,50.0,92.0
Uinta County,9020.0,3530.0,4320.0,2340.0,576687.0,350.0,1676.0
Uintah County,12870.0,4540.0,6560.0,2620.0,702131.0,510.0,1985.0
Ulster County,87550.0,45240.0,30090.0,26120.0,5561111.0,2690.0,12637.0
Umatilla County,32090.0,13860.0,12190.0,8020.0,1627588.0,2310.0,8301.0
Unicoi County,7490.0,3250.0,3240.0,2160.0,332186.0,210.0,726.0
Union County,528890.0,232650.0,200130.0,120780.0,42575352.0,19400.0,111532.0
Union Parish,8750.0,3190.0,3520.0,2440.0,428895.0,270.0,1098.0
Upshur County,26330.0,10350.0,12010.0,7200.0,1306511.0,1200.0,4510.0
Upson County,10680.0,4330.0,3770.0,2470.0,464655.0,340.0,597.0
Upton County,1470.0,550.0,670.0,360.0,112518.0,0.0,0.0
Utah,1325740.0,575340.0,599230.0,260370.0,90995187.0,30420.0,127142.0
Utah County,235560.0,95340.0,120710.0,35960.0,16485771.0,4340.0,18686.0
Uvalde County,11750.0,4950.0,4110.0,2680.0,516079.0,320.0,1363.0
Val Verde County,21020.0,8380.0,8090.0,3970.0,931315.0,940.0,2918.0
Valdez-Cordova Censu,4970.0,2610.0,1850.0,1200.0,321034.0,1190.0,2497.0
Valencia County,31270.0,13700.0,11350.0,8530.0,1409358.0,840.0,4273.0
Valley County,11060.0,4950.0,5120.0,3990.0,627883.0,460.0,1640.0
Van Buren County,46720.0,20420.0,20030.0,14000.0,2328921.0,2320.0,8505.0
Van Wert County,14130.0,6220.0,5390.0,4000.0,702570.0,320.0,1068.0
Van Zandt County,23080.0,8940.0,10780.0,6660.0,1208593.0,510.0,2607.0
Vance County,18780.0,7720.0,4720.0,4440.0,769398.0,310.0,655.0
Vanderburgh County,85700.0,43720.0,29690.0,23420.0,4779685.0,1250.0,4833.0
Venango County,24330.0,11350.0,10160.0,8120.0,1154229.0,1790.0,9467.0
Ventura County,406630.0,193770.0,155430.0,101950.0,33533379.0,24000.0,117075.0
Vermilion County,32980.0,14650.0,12000.0,9700.0,1570316.0,1650.0,8914.0
Vermilion Parish,23820.0,9230.0,9760.0,5340.0,1228556.0,650.0,1958.0
Vermillion County,7280.0,3210.0,3080.0,2240.0,340176.0,270.0,1222.0
Vermont,328230.0,172800.0,121370.0,98780.0,20537234.0,14210.0,56650.0
Vernon County,22060.0,9830.0,10020.0,7030.0,1020736.0,770.0,2833.0
Vernon Parish,19500.0,7420.0,8920.0,3850.0,929747.0,610.0,2220.0
Victoria County,41820.0,18290.0,15410.0,10250.0,2664548.0,1610.0,6920.0
Vigo County,46000.0,22680.0,16310.0,12740.0,2307327.0,990.0,3822.0
Vilas County,11660.0,5400.0,5250.0,5160.0,648553.0,580.0,2060.0
Vinton County,5200.0,2120.0,2070.0,1280.0,224591.0,330.0,1415.0
Virginia,3960430.0,1853760.0,1506400.0,954060.0,314034747.0,75770.0,276842.0
Virginia Beach city,221290.0,105400.0,81330.0,50840.0,15762855.0,3560.0,14176.0
Volusia County,260710.0,126660.0,91240.0,86010.0,14300968.0,3320.0,10759.0
Wabash County,20230.0,9090.0,8750.0,6590.0,1098318.0,470.0,1885.0
Wabasha County,11080.0,5200.0,4880.0,3500.0,647741.0,450.0,2284.0
Wabaunsee County,3200.0,1350.0,1600.0,1110.0,178355.0,100.0,300.0
Wadena County,6310.0,2920.0,2750.0,1880.0,294120.0,420.0,2095.0
Wagoner County,32990.0,12240.0,15880.0,8120.0,1990017.0,990.0,4834.0
Wahkiakum County,1900.0,790.0,930.0,820.0,104927.0,70.0,470.0
Wake County,502690.0,230330.0,198000.0,98940.0,43561227.0,7960.0,25552.0
Wakulla County,13560.0,5480.0,5680.0,3740.0,718412.0,130.0,439.0
Waldo County,18730.0,8890.0,7520.0,6050.0,920968.0,670.0,2846.0
Walker County,75530.0,31530.0,30290.0,18520.0,3734788.0,2040.0,5153.0
Walla Walla County,26200.0,11670.0,10910.0,7970.0,1607745.0,1190.0,4948.0
Wallace County,700.0,300.0,350.0,260.0,33412.0,0.0,0.0
Waller County,21220.0,8730.0,8870.0,4620.0,1404275.0,650.0,3180.0
Wallowa County,3530.0,1580.0,1650.0,1450.0,175111.0,240.0,973.0
Walsh County,5250.0,2520.0,2180.0,1740.0,305768.0,250.0,1092.0
Walthall County,5550.0,2150.0,1820.0,1390.0,219765.0,170.0,514.0
Walton County,72600.0,29530.0,30770.0,18820.0,5742830.0,1040.0,3092.0
Walworth County,53140.0,26540.0,21300.0,15280.0,3363553.0,1960.0,7935.0
Wapello County,15440.0,7090.0,6020.0,4180.0,751246.0,1210.0,5286.0
Ward County,37940.0,18650.0,14840.0,7790.0,2395791.0,1370.0,7433.0
Ware County,13660.0,5550.0,4690.0,3380.0,605049.0,290.0,677.0
Warren County,392460.0,175280.0,157970.0,101370.0,26280489.0,13000.0,61221.0
Warrick County,30070.0,12550.0,14410.0,8560.0,2344428.0,480.0,1909.0
Wasatch County,13750.0,5430.0,6860.0,3030.0,1179114.0,340.0,1467.0
Wasco County,11760.0,5380.0,4720.0,3540.0,609539.0,640.0,2200.0
Waseca County,9110.0,4340.0,3770.0,2520.0,477144.0,400.0,2039.0
Washakie County,3690.0,1610.0,1720.0,1220.0,224219.0,160.0,670.0
Washburn County,8280.0,3720.0,3810.0,3140.0,428518.0,400.0,1665.0
Washington,3568240.0,1728730.0,1409610.0,877860.0,301910219.0,146360.0,805921.0
Washington County,1224250.0,569450.0,501570.0,323690.0,87444123.0,44240.0,210764.0
Washington Parish,16380.0,6470.0,5430.0,4020.0,663480.0,370.0,1219.0
Washita County,4450.0,1710.0,2100.0,1330.0,201063.0,100.0,480.0
Washoe County,230980.0,120150.0,79740.0,59530.0,18559739.0,8300.0,33962.0
Washtenaw County,167440.0,88740.0,61880.0,43010.0,14622578.0,3730.0,12782.0
Watauga County,20290.0,10390.0,8210.0,5750.0,1174146.0,140.0,392.0
Watonwan County,5320.0,2470.0,2090.0,1580.0,272264.0,330.0,1465.0
Waukesha County,209340.0,98570.0,96340.0,63140.0,20040884.0,5670.0,21742.0
Waupaca County,25450.0,12240.0,10900.0,7550.0,1350008.0,960.0,3175.0
Waushara County,11410.0,5150.0,5290.0,4110.0,560564.0,530.0,1793.0
Wayne County,1071890.0,530110.0,328870.0,275410.0,56344066.0,46670.0,161371.0
Waynesboro city,10740.0,5360.0,3470.0,2870.0,523499.0,230.0,802.0
Weakley County,12960.0,5620.0,5320.0,3390.0,585794.0,410.0,1420.0
Webb County,113700.0,49950.0,33280.0,16200.0,4745294.0,2450.0,11543.0
Weber County,111380.0,48930.0,47470.0,23410.0,6496369.0,3380.0,12144.0
Webster County,46140.0,18900.0,20650.0,12400.0,2282191.0,1900.0,6704.0
Webster Parish,15980.0,6480.0,5510.0,4340.0,777238.0,390.0,1372.0
Weld County,137330.0,59840.0,58730.0,27520.0,9372386.0,3510.0,16656.0
Wells County,15330.0,6810.0,7040.0,4890.0,852100.0,310.0,1140.0
West Baton Rouge Par,11810.0,4980.0,3750.0,2510.0,723746.0,260.0,794.0
West Carroll Parish,4160.0,1450.0,1760.0,1150.0,194712.0,370.0,1816.0
West Feliciana Paris,4670.0,1860.0,1800.0,1310.0,352386.0,90.0,301.0
West Virginia,766610.0,340520.0,318010.0,219230.0,40495143.0,36800.0,135352.0
Westchester County,490180.0,236130.0,170460.0,128180.0,76857416.0,12480.0,68325.0
Westmoreland County,190500.0,92400.0,78250.0,63100.0,11996122.0,12460.0,59494.0
Weston County,3090.0,1290.0,1500.0,1070.0,184165.0,110.0,460.0
Wetzel County,6750.0,2950.0,2990.0,2250.0,365442.0,530.0,2242.0
Wexford County,15540.0,7110.0,6350.0,4560.0,710902.0,850.0,2620.0
Wharton County,19840.0,8320.0,7260.0,4930.0,1046892.0,760.0,3089.0
Whatcom County,105810.0,53660.0,41920.0,29500.0,7106244.0,4380.0,22061.0
Wheatland County,910.0,420.0,380.0,330.0,33365.0,20.0,99.0
Wheeler County,4990.0,1880.0,2260.0,1580.0,221896.0,140.0,434.0
White County,71370.0,28730.0,32280.0,19750.0,3581081.0,2310.0,7970.0
White Pine County,3910.0,1850.0,1520.0,1150.0,216893.0,110.0,467.0
Whiteside County,27720.0,12870.0,10950.0,8650.0,1454436.0,1240.0,6155.0
Whitfield County,42640.0,16940.0,15630.0,7890.0,2217265.0,3300.0,3665.0
Whitley County,30010.0,12780.0,12880.0,7940.0,1524843.0,670.0,2363.0
Whitman County,17610.0,9730.0,6640.0,3980.0,1014618.0,330.0,1620.0
Wibaux County,460.0,220.0,210.0,180.0,20763.0,0.0,0.0
Wichita County,55060.0,25130.0,20430.0,13730.0,3118475.0,1100.0,4873.0
Wicomico County,46210.0,21870.0,14690.0,11610.0,2408854.0,1910.0,7953.0
Wilbarger County,5530.0,2430.0,1990.0,1460.0,248319.0,120.0,580.0
Wilcox County,6890.0,2600.0,1930.0,1690.0,253824.0,200.0,577.0
Wilkes County,31680.0,12790.0,13620.0,8700.0,1479860.0,450.0,999.0
Wilkin County,3240.0,1540.0,1370.0,980.0,178649.0,150.0,742.0
Wilkinson County,7290.0,3100.0,1930.0,1910.0,286894.0,200.0,603.0
Will County,336790.0,152820.0,134900.0,73550.0,25496449.0,15100.0,93443.0
Willacy County,7420.0,3210.0,2070.0,1340.0,250436.0,530.0,2391.0
Williams County,36370.0,17220.0,13310.0,8090.0,2378872.0,1140.0,5272.0
