County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Orleans Parish,160750.0,86440.0,31140.0,32000.0,10309369.0,3470.0,11045.0
Osage County,31370.0,12740.0,14090.0,9090.0,1641824.0,1060.0,4396.0
Osborne County,1760.0,830.0,800.0,670.0,72343.0,20.0,56.0
Osceola County,186110.0,85690.0,57890.0,32630.0,8013326.0,3170.0,10388.0
Oscoda County,3600.0,1650.0,1660.0,1460.0,146197.0,180.0,651.0
Oswego County,52710.0,24740.0,20240.0,13670.0,2780045.0,2900.0,14246.0
Otero County,34330.0,14980.0,13080.0,9530.0,1433101.0,910.0,3960.0
Otoe County,7540.0,3290.0,3400.0,2260.0,450592.0,170.0,654.0
Otsego County,39040.0,19180.0,15470.0,12580.0,2071860.0,1850.0,7323.0
Ottawa County,173260.0,78250.0,76480.0,47260.0,11517881.0,5420.0,20095.0
Otter Tail County,29020.0,13200.0,13350.0,10050.0,1652714.0,1520.0,8790.0
Ouachita County,9430.0,3700.0,3260.0,2590.0,428388.0,300.0,793.0
Ouachita Parish,64800.0,27140.0,20480.0,14960.0,3566073.0,1450.0,4866.0
Ouray County,2590.0,1190.0,1210.0,1080.0,196028.0,70.0,281.0
Outagamie County,94640.0,46280.0,39740.0,22480.0,6392173.0,3450.0,12031.0
Overton County,9170.0,3800.0,4220.0,2350.0,382987.0,220.0,670.0
Owen County,14010.0,5910.0,6240.0,3990.0,651677.0,360.0,1355.0
Owsley County,1320.0,440.0,560.0,300.0,44011.0,40.0,154.0
Owyhee County,4700.0,1840.0,2260.0,1220.0,179782.0,240.0,762.0
Oxford County,26200.0,12370.0,10320.0,7720.0,1236611.0,890.0,3403.0
Ozark County,3550.0,1340.0,1860.0,1430.0,128029.0,220.0,904.0
Ozaukee County,46380.0,21530.0,21800.0,15180.0,5294329.0,990.0,3843.0
Pacific County,10240.0,4610.0,4420.0,4420.0,529721.0,470.0,2317.0
Page County,17290.0,7730.0,7330.0,5280.0,837292.0,790.0,2845.0
Palm Beach County,742870.0,376610.0,239470.0,228770.0,85604225.0,9720.0,30947.0
Palo Alto County,4210.0,1950.0,1830.0,1390.0,211278.0,190.0,868.0
Palo Pinto County,12300.0,5160.0,5150.0,3450.0,646239.0,250.0,1158.0
Pamlico County,5510.0,2270.0,2360.0,2330.0,293390.0,70.0,241.0
Panola County,24270.0,9660.0,8180.0,5880.0,1104927.0,770.0,2948.0
Park County,31830.0,14980.0,13990.0,10610.0,2046712.0,1400.0,5869.0
Parke County,6940.0,2960.0,3130.0,2230.0,334265.0,140.0,558.0
Parker County,62420.0,24450.0,30800.0,16040.0,4946864.0,1210.0,6403.0
Parmer County,4000.0,1410.0,1770.0,910.0,166608.0,20.0,126.0
Pasco County,241990.0,108350.0,93450.0,69700.0,13491276.0,2970.0,9970.0
